NOTE:,For agents count higher than 15, montecarlo isnt generated

GAUSS_SPARSE
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

3,0.0,0.0,4.0333333333322785E-4,0.17215713999999982,200,
4,0.0,0.0,7.961904761912176E-5,0.15194688000000003,200,
5,5.551115123125783E-17,2.560782274061008E-18,4.029373800802599E-4,0.30440623,200,
6,5.551115123125783E-17,4.956352788505152E-19,1.5756109072596978E-4,0.05315900500000003,200,
7,5.551115123125783E-17,3.0116727013486224E-19,2.295794454392798E-5,0.06457402000000005,200,
8,1.1102230246251565E-16,2.467162276944786E-18,7.337470440841922E-6,0.099229185,200,
9,5.551115123125783E-17,1.0123984195168096E-17,9.1184880574323E-5,1.3482479399999994,200,
10,1.1102230246251565E-16,3.1072248625096004E-18,8.428428003640301E-5,0.23103461999999997,200,
11,1.1102230246251565E-16,3.4647556925534305E-18,4.922217202751586E-5,0.370311845,200,
12,1.1102230246251565E-16,2.6566724442296393E-18,3.50927092318317E-5,0.51610492,200,
13,1.6653345369377348E-16,1.0327671051360468E-18,1.5547539105581118E-4,0.7277861550000004,200,
14,1.1102230246251565E-16,2.049945132936277E-18,5.1679914490563825E-5,1.0264591100000002,200,
15,1.3877787807814457E-16,8.24745027897046E-19,1.6628991264236334E-5,1.3467623500000006,200,
16,1.6653345369377348E-16,2.14570883371853E-18,0.0,2.027698835000001,200,
17,1.6653345369377348E-16,9.806459601496813E-19,0.0,2.6836521550000003,200,
18,1.249000902703301E-16,1.258867299359098E-18,0.0,3.5548929599999997,200,
19,1.3877787807814457E-16,2.6080805821173026E-19,0.0,4.468480444999998,200,
20,2.7755575615628914E-16,1.9284422645914167E-18,0.0,6.593354314999999,200,
21,2.220446049250313E-16,3.0144388619308597E-18,0.0,6.812864285,200,
22,1.3877787807814457E-16,5.5964305983294644E-18,0.0,8.406076769999995,200,
23,1.6653345369377348E-16,1.6818222404762603E-18,0.0,10.781622365000002,200,
24,1.6653345369377348E-16,4.901523606583644E-19,0.0,13.929486405,200,
25,2.220446049250313E-16,9.119532641495519E-19,0.0,17.003961184999987,200,
26,2.7755575615628914E-16,3.7485764229778607E-19,0.0,20.395743055,200,
27,2.220446049250313E-16,3.3000922646209238E-19,0.0,24.434038179999995,200,
28,2.7755575615628914E-16,6.029748388347763E-19,0.0,31.79671093,200,
29,3.3306690738754696E-16,1.0960083397926318E-18,0.0,32.92620763,200,
30,2.7755575615628914E-16,4.530876550775934E-18,0.0,37.54387539999999,200,

GAUSS
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

3,0.0,0.0,4.0333333333322785E-4,0.16638835500000002,200,
4,0.0,0.0,7.961904761912176E-5,0.4652369249999997,200,
5,5.551115123125783E-17,2.560782274061008E-18,4.029373800802599E-4,0.9776709100000001,200,
6,5.551115123125783E-17,4.956352788505152E-19,1.5756109072596978E-4,0.13549099999999992,200,
7,5.551115123125783E-17,3.0116727013486224E-19,2.295794454392798E-5,0.31786787999999994,200,
8,1.1102230246251565E-16,2.467162276944786E-18,7.337470440841922E-6,0.4873462649999996,200,
9,5.551115123125783E-17,1.0123984195168096E-17,9.1184880574323E-5,3.1407926750000006,200,
10,1.1102230246251565E-16,3.1072248625096004E-18,8.428428003640301E-5,1.3753324450000002,200,
11,1.1102230246251565E-16,3.4647556925534305E-18,4.922217202751586E-5,2.1629069150000015,200,
12,1.1102230246251565E-16,2.6566724442296393E-18,3.50927092318317E-5,3.4320071249999997,200,
13,1.6653345369377348E-16,1.0327671051360468E-18,1.5547539105581118E-4,5.177145079999999,200,
14,1.1102230246251565E-16,2.049945132936277E-18,5.1679914490563825E-5,7.679162490000001,200,
15,1.3877787807814457E-16,8.24745027897046E-19,1.6628991264236334E-5,11.0211501,200,
16,1.6653345369377348E-16,2.14570883371853E-18,0.0,15.535840099999998,200,
17,1.6653345369377348E-16,9.806459601496813E-19,0.0,21.463149074999993,200,
18,1.249000902703301E-16,1.258867299359098E-18,0.0,29.271852350000007,200,
19,1.3877787807814457E-16,2.6080805821173026E-19,0.0,38.517103055000014,200,
20,2.7755575615628914E-16,1.9284422645914167E-18,0.0,51.662992685000006,200,
21,2.220446049250313E-16,3.0144388619308597E-18,0.0,66.03889133500002,200,
22,1.3877787807814457E-16,5.5964305983294644E-18,0.0,90.28970385499998,200,
23,1.6653345369377348E-16,1.6818222404762603E-18,0.0,116.55281557999992,200,
24,1.6653345369377348E-16,4.901523606583644E-19,0.0,146.16163604499997,200,
25,2.220446049250313E-16,9.119532641495519E-19,0.0,185.04609538,200,
26,2.7755575615628914E-16,3.7485764229778607E-19,0.0,234.27029000000002,200,
27,2.220446049250313E-16,3.3000922646209238E-19,0.0,310.5488938199999,200,
28,2.7755575615628914E-16,6.029748388347763E-19,0.0,342.41547682000026,200,
29,3.3306690738754696E-16,1.0960083397926318E-18,0.0,418.61609766000004,200,
30,2.7755575615628914E-16,4.530876550775934E-18,0.0,509.14470829500004,200,
