NOTE:,For agents count higher than 15, montecarlo isnt generated


GAUSS_SEIDEL_MINUS14
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

3,0.0,0.0,1.2133333333322338E-4,0.14929611000000004,200,
4,6.328271240363392E-15,4.2558549277297753E-16,2.1171428571302203E-4,1.2758822499999998,200,
5,2.1649348980190553E-15,3.046504847334491E-16,1.015088086528569E-4,2.1566206,200,
6,4.274358644806853E-15,2.131231699057213E-16,7.743890927571116E-5,1.3533790399999999,200,
7,5.440092820663267E-15,4.900111952002244E-16,1.4902388991728242E-5,1.8731749350000002,200,
8,5.495603971894525E-15,4.7235315581768E-16,8.22180851186017E-5,3.708661015000003,200,
9,5.467848396278896E-15,4.3831287636656287E-16,4.821244206375378E-6,6.180405764999997,200,
10,6.356026815979021E-15,3.520114922798458E-16,7.192784118111687E-5,10.328285415000005,200,
11,4.954370247389761E-15,3.3263867725701364E-16,6.217088998179739E-5,16.654795889999995,200,
12,5.495603971894525E-15,3.023871880223478E-16,1.4982819127434366E-5,25.848598955000014,200,
13,6.022959908591474E-15,4.1725951183186083E-16,4.576110533488847E-5,37.678549780000004,200,
14,5.995204332975845E-15,3.346859837346982E-16,6.153418850192675E-6,52.581907089999966,200,
15,6.38378239159465E-15,4.2107326093052264E-16,5.258487362538188E-5,72.74291381999997,200,
16,6.0645932720149176E-15,3.379061989049673E-16,0.0,100.97694299500003,200,
17,6.467049118441537E-15,4.094111644659699E-16,0.0,139.21604948000007,200,
18,6.0923488476305465E-15,3.2816903029685836E-16,0.0,176.6657213599999,200,
19,6.4254157550180935E-15,3.898882894853636E-16,0.0,247.52934183999986,200,
20,5.988265439071938E-15,3.1993270860166403E-16,0.0,303.85257262499994,200,
21,6.161737786669619E-15,3.6702437843961104E-16,0.0,384.9800149750001,200,
22,5.870304242705515E-15,3.0594128718274826E-16,0.0,486.3174822300001,200,
23,6.0645932720149176E-15,3.473807598825472E-16,0.0,611.1242423350002,200,
24,5.689893001203927E-15,2.9473812424829664E-16,0.0,765.448810015,200,
25,5.814793091474257E-15,3.2761511313235137E-16,0.0,940.0965203800002,200,
26,5.6066262743570405E-15,2.795547950854892E-16,0.0,1198.92404492,200,
27,5.662137425588298E-15,3.0950039388179334E-16,0.0,1487.4711872650014,200,
28,5.495603971894525E-15,2.664873856794559E-16,0.0,1889.6993170299997,200,
29,5.523359547510154E-15,2.920904369744034E-16,0.0,2306.74972621,200,
30,5.953570969552402E-15,3.007550037183419E-16,0.0,2938.9601806299997,200,

JACOBIAN_MINUS6
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

3,0.0,0.0,1.2133333333322338E-4,0.18609183999999998,200,
4,5.726623060198222E-7,3.817748706798807E-8,2.1160793414307853E-4,0.5923262700000002,200,
5,4.1075864787298855E-7,5.8679799658234444E-8,1.017278130321823E-4,1.0794793399999998,200,
6,6.121958819604867E-7,3.1079001340602675E-8,7.767896920036533E-5,0.555024265,200,
7,6.329563964346807E-7,5.7322667939550015E-8,1.5290069745646464E-5,0.9049700799999998,200,
8,6.968886356595316E-7,3.8825992779166554E-8,8.264220000230753E-5,1.6313833300000007,200,
9,4.5942031093315627E-7,3.10910800569397E-8,4.418023905177591E-6,2.9025039300000026,200,
10,5.550710078239263E-7,4.529221741455879E-8,7.244870635010741E-5,4.667004229999999,200,
11,5.127593257492347E-7,3.749847126783089E-8,6.26612565368159E-5,7.683234630000005,200,
12,5.441881190115794E-7,4.3190788931002015E-8,1.561846063568998E-5,11.670949475,200,
13,6.906732424316608E-7,4.7424661161871514E-8,4.498057544103844E-5,17.682241874999995,200,
14,6.3616891241014E-7,3.547537176453913E-8,6.924309737078166E-6,24.463089139999994,200,
15,6.455971859331555E-7,4.248696563835556E-8,5.3424203676627995E-5,33.771432125000004,200,
16,5.919179385110995E-7,3.2569181397787484E-8,0.0,47.579830665,200,
17,6.015428241495924E-7,3.798341176369867E-8,0.0,65.72082103500001,200,
18,5.519198747749865E-7,2.98879407859596E-8,0.0,82.44499559999997,200,
19,5.618532026990808E-7,3.420284366226E-8,0.0,115.40933491500003,200,
20,5.790741812172762E-7,3.547810460600751E-8,0.0,139.94127085999992,200,
21,6.185603444036625E-7,3.651761125488744E-8,0.0,176.26262717999998,200,
22,5.665820508593544E-7,2.971826449031104E-8,0.0,226.2420135699999,200,
23,5.739833926904359E-7,3.28767585725629E-8,0.0,283.3984121599999,200,
24,5.285194871196275E-7,2.7221951811611758E-8,0.0,354.59469003500004,200,
25,6.121035299178068E-7,3.4087838236959474E-8,0.0,429.1585007350001,200,
26,5.717072193156536E-7,2.852188084145564E-8,0.0,534.9808369750001,200,
27,5.695313879672259E-7,3.09256461190082E-8,0.0,644.763845965,200,
28,5.437672563890494E-7,2.6198983211932825E-8,0.0,791.5091321049999,200,
29,5.968901673619742E-7,3.1617621810817564E-8,0.0,953.34258154,200,
30,5.773766942607228E-7,2.6986999925130965E-8,0.0,1358.1602358699995,200,

JACOBIAN_MINUS10
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

3,0.0,0.0,1.2133333333322338E-4,0.10711028500000001,200,
4,6.004796659908607E-11,4.003197773272391E-12,2.11714274562442E-4,0.7732298099999996,200,
5,2.962605161194176E-11,4.232293170026139E-12,1.0150882444743859E-4,0.4027698950000002,200,
6,5.099243249873098E-11,2.5887108676918826E-12,7.74389292697124E-5,0.9041935799999996,200,
7,5.848996287305397E-11,5.297048751596678E-12,1.4902424813065917E-5,1.531409695000001,200,
8,7.10114467228351E-11,3.956284516331957E-12,8.221812833113208E-5,2.7402058799999995,200,
9,5.013511827911543E-11,4.0095012823208075E-12,4.821205044361305E-6,4.7658969199999985,200,
10,5.5071308624476956E-11,3.0835462044175055E-12,7.192788624487885E-5,7.8107053050000035,200,
11,6.103545446833891E-11,4.4635649565289306E-12,6.21709483462038E-5,12.475024420000002,200,
12,6.075623337764569E-11,3.385771725233441E-12,1.4982881065472497E-5,18.95586282,200,
13,6.45629383289048E-11,4.433170721985383E-12,4.576103237918217E-5,28.56414360999999,200,
14,6.159223131518843E-11,3.4346328056409593E-12,6.153493478582908E-6,39.760967405,200,
15,6.425494858408598E-11,4.228636433070498E-12,5.258495715389506E-5,56.42138397499998,200,
16,6.023198606541769E-11,3.3141543031030893E-12,0.0,77.98958937500004,200,
17,6.232959981478103E-11,3.93569496469938E-12,0.0,108.43468452499995,200,
18,5.805440850270571E-11,3.143799007385763E-12,0.0,136.05800952500002,200,
19,5.985337225844489E-11,3.643573715108508E-12,0.0,191.30424705,200,
20,5.567225153102484E-11,2.9726680339120194E-12,0.0,235.7896934549999,200,
21,5.7289298305285286E-11,3.382158071249541E-12,0.0,307.498377275,200,
22,5.33377439437821E-11,2.797663762270655E-12,0.0,378.0141055900004,200,
23,5.482558851355179E-11,3.1403154596002355E-12,0.0,474.45669194500005,200,
