NOTE:,For agents count higher than 15, montecarlo isnt generated


JACOBIAN_MINUS10
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

30,5.913930456458161E-11,2.764215417157559E-12,0.0,2655.606949,1,
31,5.822053950055306E-11,2.978450049361042E-12,0.0,3114.524314,1,
32,5.6835730566362486E-11,2.5877930880071704E-12,0.0,4860.17628,1,
33,5.612763032125656E-11,2.7757343110983433E-12,0.0,4410.561344,1,
34,6.011163788954832E-11,2.671420974796575E-12,0.0,4680.522697,1,
35,5.934745750391102E-11,2.846032035423482E-12,0.0,5504.931462,1,
36,5.7606919234842735E-11,2.504083617236227E-12,0.0,6936.682365,1,
37,5.701979166605753E-11,2.6593533059527696E-12,0.0,7249.130799,1,
38,6.016344367143489E-11,2.56340468068309E-12,0.0,7984.763148,1,
39,5.954324533430366E-11,2.708257177250698E-12,0.0,9336.728873,1,
40,5.7636756478629536E-11,2.409567950943008E-12,0.0,10640.37951,1,
41,5.7161483879575314E-11,2.5397345377871003E-12,0.0,12586.922339,1,
42,5.968030236669364E-11,2.4509823287482824E-12,0.0,14875.427061,1,
43,5.918419920813989E-11,2.5730306108626064E-12,0.0,15221.128847,1,
44,5.72211306115733E-11,2.3114548269674404E-12,0.0,17950.524194,1,
45,5.684264170469078E-11,2.4220574625035216E-12,0.0,21897.097952,1,
46,5.888926846164821E-11,2.3412933340849274E-12,0.0,24632.320591,1,
47,5.849681850023103E-11,2.4454162781466506E-12,0.0,29203.475467,1,
48,5.6540078174904806E-11,2.2140876495900005E-12,0.0,30265.095455,1,
49,5.996821095255456E-11,2.4621552760948565E-12,0.0,36744.919167,1,
50,5.7927135310720246E-11,2.236166792648299E-12,0.0,37763.409201,1,

GAUSS_SPARSE
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,

30,2.7755575615628914E-16,4.53087655077593E-18,0.0,38.304255,1,
